Animal_ID,Epoch,Sleep_State,Tot_Mov,AVG_Amp,STDEV_Amp,AVG_Freq,STDEV_Freq,
AAL,1320,REM Sleep,98,1.310406813,1.451732816,10.32985222,2.232468669,
AAL,1330,Non-REM Sleep,14.5,0.465625779,0.112826464,1.499616941,0.860605308,
AAL,1330,REM Sleep,82,2.44605847,1.987708685,8.888522827,2.660278916,
AAL,1340,Non-REM Sleep,14,0.474116083,0.03089335,1.406337815,0.14950185,
AAL,1340,REM Sleep,52,1.494552146,0.36917345,5.389537227,1.63217809,
AAL,1350,Non-REM Sleep,14,0.501091533,0.029077857,1.413416318,0.081685063,
AAL,1350,REM Sleep,54,1.238308447,0.375552948,5.839585192,2.448795648,
AAL,1360,Non-REM Sleep,14,0.488779279,0.035423054,1.41136804,0.113390261,
AAL,1360,REM Sleep,58,1.088946175,0.376956108,5.906315726,1.129048565,
AAL,2130,WAKE,102,15.32157825,3.387225622,11.03071289,2.059211974,
AAL,2140,WAKE,81,10.6812332,6.340397658,10.09126198,3.446406831,
AAL,2150,WAKE,27,15.1486876,4.247844187,6.715635694,5.681398646,
AAL,2160,WAKE,69,11.23566805,9.001192932,10.21409156,9.192104487,
AAL,2170,WAKE,81,15.81163947,2.716034885,8.903489784,2.266564467,
AAL,2180,WAKE,84,10.71397239,5.019032986,9.923868907,3.107643102,
AAL,2190,WAKE,87,14.6392651,2.17894186,9.683526139,2.015323351,
AAL,2200,WAKE,93,7.860832112,4.427308473,10.65162932,3.215701183,
AAL,2210,WAKE,66,11.75549849,7.889544001,10.39097732,6.108577126,
AAL,2220,WAKE,96,4.904585768,5.621242217,10.8467457,4.944310456,
AAL,2230,WAKE,99,8.130700068,5.196986883,10.54821993,2.480456543,
AAL,2240,WAKE,60,11.37271547,7.531688308,9.714419646,5.349024565,
AAL,2250,WAKE,48,13.28136097,6.618569872,8.139270324,5.091753055,
AAL,2260,WAKE,105,7.921704777,3.747358429,10.99505116,2.297821627,
AAL,2270,WAKE,108,7.229243293,4.018993095,12.73189408,5.97375189,
AAL,2280,WAKE,99,4.183213752,3.243681131,10.77310412,5.24315163,
AAL,2290,WAKE,99,8.978988682,4.421340717,11.79436945,4.649835873,
AAL,2300,WAKE,111,6.098010897,5.522406767,13.41374529,5.154507477,
AAL,2310,WAKE,105,3.141061128,0.828110733,10.68759708,1.440301552,
AAL,2320,WAKE,87,3.958117116,4.312047945,9.662305828,3.085252348,
AAL,2330,WAKE,102,4.045494902,5.655010985,11.97854618,4.875727876,
AAL,2340,WAKE,108,7.37058464,5.448306831,12.59491518,4.126066223,
AAL,2350,WAKE,87,9.763785381,8.592712055,11.78234703,4.98400735,
AAL,2360,WAKE,66,9.495753105,7.071734159,11.5857196,6.959113314,
AAL,2370,WAKE,90,9.594006442,7.909705889,12.69790621,6.174327765,
AAL,2380,WAKE,66,13.15318455,6.447076474,9.786272973,5.371253561,
AAL,2390,WAKE,135,6.975681772,5.600275529,15.38193948,5.325474618,
AAL,2400,WAKE,126,6.550586428,5.55133045,14.94469141,6.277235009,
AAL,2410,WAKE,90,4.684682017,6.329592672,13.14102394,6.576092155,
AAL,2420,WAKE,108,7.427522212,5.794113603,14.67315666,6.049494378,
AAL,2430,WAKE,114,4.354464616,6.789737858,14.78997601,7.508601999,
AAL,2440,WAKE,126,4.914943914,5.530164611,14.56402773,5.722037152,
AAL,2450,WAKE,132,4.533965724,4.611547875,15.45214918,5.87284427,
AAL,2460,WAKE,132,4.770938465,3.335296855,15.09271819,6.1915827,
AAL,2470,WAKE,138,4.242237099,4.699790602,16.03644066,6.97107256,
AAL,2480,WAKE,123,5.02645701,5.707300163,13.91834765,5.049502423,
AAL,2490,WAKE,102,7.986058028,7.313036613,12.6986839,6.055970813,
AAL,2500,WAKE,111,7.489904531,6.12617609,13.10089085,4.904981901,
AAL,2510,WAKE,123,5.757097339,5.059693299,14.14526678,5.607042856,
AAL,2520,WAKE,126,4.533560219,6.429638135,15.29224136,6.204249412,
AAL,2530,WAKE,144,3.351948079,3.782354514,16.18473712,7.113201526,
AAL,2540,WAKE,129,5.100645742,5.988323854,15.97497342,9.359196845,
AAL,2550,WAKE,120,7.172357245,6.097602069,14.97163119,6.832889386,
AAL,2560,WAKE,120,4.063101475,5.074517421,13.48826518,5.133656642,
